price,n_trades,total_contracts,volume_usd,is_round_5,is_key_round,is_extreme,trade_ratio
82,560771,132424993.0,108588494.26000108,False,False,False,0.770064303511509
83,548519,133016169.0,110403420.27000986,False,False,False,0.7532395607080776
84,594888,146341468.0,122926833.11999375,False,False,False,0.8169145932784587
85,612814,148842384.0,126516026.39999162,True,False,False,0.8415310101487093
86,567398,151451300.0,130248117.99999928,False,False,False,0.7791646602335413
87,549076,140207133.0,121980205.70999579,False,False,False,0.7540044465831601
88,611558,156045817.0,137320318.96000746,False,False,False,0.8398062405632449
89,590817,154395023.0,137411570.4699971,False,False,False,0.8113241975918142
90,640140,165156677.0,148641009.30000976,True,True,False,0.879055734426098
91,565675,156212934.0,142153769.94000655,False,False,False,0.7767985949502967
92,600680,170671013.0,157017331.95997852,False,False,False,0.8248683077999633
93,620146,170955953.0,158989036.2899907,False,False,False,0.851599489926277
