category,total_volume,market_count
KXNFLOROTY,3033795.0,52
KXNETFLIXRANKMOVIE,3014507.0,586
KXF1,2997207.0,20
KXMLBNLROTY,2990482.0,23
KXSPEAKER,2980553.0,19
KXSWIFTMENTION,2936480.0,106
KXNHLSPREAD,2924775.0,1012
KXNFLPASSYDS,2921483.0,1526
HIGHMIA,2893581.0,3184
BTCMAX100,2886829.0,10
KXATTYGENVA,2847040.0,2
KXMLBALMVP,2844903.0,9
BTC,2715515.0,3280
KXPCTVOTEMAM,2707723.0,1
SENATEOH,2702385.0,4
KXRAINNYC,2664005.0,320
KXOSCARNOMPIC,2653100.0,52
KXNFLRSHYDS,2652759.0,2038
PRESPARTYMN,2607519.0,2
KXNFLPLAYOFF,2603403.0,32
KXMAYORSEATTLE,2600292.0,9
KXNCAAFPLAYOFF,2584939.0,54
CPICORE,2523142.0,294
KXEOWEEK,2503837.0,12
KXCABOUT,2497081.0,25
KXNCAAFB12,2493216.0,16
KXBTCRESERVE,2469042.0,1
KXWLEADER,2449835.0,30
KXEPSTEINLIST,2441839.0,18
POPVOTEMOVNV,2436110.0,28
KXCEOASTRONOMER,2415264.0,1
KXATPDOUBLES,2413002.0,30
KXRTCAPTAINAMERICA,2405348.0,10
KXAFC,2363875.0,2
KXVOTEHEGSETH,2363018.0,13
KXLEAVEADMIN,2356242.0,14
KXNETFLIXRANKSHOW,2352854.0,569
DEBATES24,2352425.0,4
KXHMONTH,2341515.0,25
KXNFLAFCNORTH,2310146.0,4
CONTROLS,2309504.0,4
KXNHLEAST,2308361.0,32
KXSOUTHPARKMENTION,2290076.0,120
KXSHUTDOWNBYDATE,2280430.0,1
KXNFLNFCWEST,2265049.0,4
KXSPACEXSTARSHIP,2251909.0,47
EURUSDH,2236432.0,125027
KXNASDAQ100Y,2232493.0,45
KXRTMOANA2,2230769.0,9
POPVOTEMOVWI,2226470.0,14
KXPRESVISIT,2226234.0,37
KXSPOTIFYSONGSOPALITE,2219860.0,36
KXLEAVELISACOOK,2197383.0,1
KXGOLDCARDS,2194868.0,9
KXATPFINALS,2188552.0,9
KXNFLAFCWEST,2169099.0,4
WTI,2126310.0,5142
KXNYCMAYORDROUND,2125738.0,12
KXBOLIVIAPRES,2122886.0,11
KXAAAGASW,2120693.0,57
KXNCAAFACC,2116533.0,17
KXGAMEAWARDS,2110687.0,21
KXNHLWEST,2106617.0,30
KXWNBA,2104410.0,13
ETHD,2099129.0,4937
KXRTMICKEY17,2077029.0,14
POPVOTEMOVMI,2076409.0,14
KXNCAAFSEC,2075267.0,16
KXDEBTSHRINK,2071488.0,1
KXGAMBLINGREPEAL,2060682.0,1
KXEFLCHAMPIONSHIPGAME,2052731.0,213
KXUCL,2045705.0,36
KXDOGE,2037000.0,69550
KXGABBARDCOUNT,2036501.0,13
KXRTSNOWWHITE,2031043.0,16
KXBTCMAXM,2026390.0,30
KXSHUTDOWNBY,2014502.0,1
APRPOTUS,1997747.0,1239
KXUELGAME,1997290.0,114
KXPARTYWINNL,1979060.0,15
KXTORNADO,1975317.0,248
KXGREENLAND,1968835.0,1
KXNEXTCANADAPM,1928432.0,8
KXPRESPOLAND,1925805.0,8
KXPGARYDERCUPD1,1900276.0,3
KXNBAFINALSEXACT,1893606.0,8
KXSONGSONCHARTTSWIFT2,1891365.0,2
KXATPIT,1890397.0,92
KXNBAWINS,1890038.0,270
KXALIENS,1886612.0,1
KXUCLROUND,1884814.0,24
KXRTMUFASA,1881390.0,11
KXLOLMAP,1871548.0,34
KXRTMINECRAFT,1868178.0,23
KXNFLNFCNORTH,1865938.0,4
KXCABCOUNT,1856470.0,19
KXCLUBWC,1836549.0,32
KXVOTEPERCENTCUOMO,1831385.0,7
KXUFSD,1798253.0,10
KXFTACOUNTRIES,1782070.0,18
DCEIL,1760051.0,14
KXWICOURTMOV,1757073.0,22
KXTARIFFSC,1755456.0,15
KXRTTHEMONKEY,1752423.0,10
KXEGGS,1748450.0,10
ACPI,1736444.0,27
KXDOGED,1730965.0,69550
KXVOTEPERCENTSLIWA,1718346.0,6
KXOSCARACTR,1703494.0,29
PRESPARTYME,1697186.0,2
KXNFLCOTY,1689114.0,33
KXLSUCOACH,1683420.0,26
KXPOWELLMENTION,1680603.0,118
KXNFLNFCEAST,1671673.0,4
KXFLACOACH,1665334.0,20
KXPRESCHILE,1660980.0,12
KXNFC,1643143.0,2
KXRTWICKED,1639156.0,9
KXRTNOVOCAINE,1626469.0,12
KXGRAMSOTY,1601084.0,18
KXMUSKPACKAGEVOTE,1594577.0,1
KXKIMMELMENTION,1594302.0,64
KXRTFANTASTICFOUR,1588271.0,11
KXSONGSONCHARTTSWIFT6,1580844.0,1
KXNYCMAYORDEBATEMENTION,1578656.0,75
KXOSCARACTO,1574437.0,26
KXNEWPARTYMUSK,1570847.0,1
KXRTWICKEDFORGOOD,1567449.0,15
KXSPOTIFY2D,1536893.0,3808
KXTRUMPPUTIN,1526603.0,14
KXWTAIT,1512683.0,60
KXMUSKDOGE,1507088.0,6
KXMAYORMINN,1504148.0,5
KXRTNOSFERATU,1499085.0,10
KXVANCEMENTION,1496930.0,224
KXSBPERFORM,1496804.0,14
SENATENE,1483641.0,5
GOVSHUT,1482738.0,18
SENATEWI,1476144.0,4
